Appendix 2a. 2020 All-cause and COVID-19 Deaths as Reported by the MOH,,,,
State,Sex,Age Group,All-cause Deaths,Covid-19 Deaths
MG,Female,85-89,8415,685
MG,Female,90,9810,584
MG,Male,0,1429,4
MG,Male,1-4,212,3
MG,Male,5-9,110,3
MG,Male,10-14,183,2
MG,Male,15-19,948,8
MG,Male,20-24,1388,21
MG,Male,25-29,1466,30
MG,Male,30-34,1697,51
MG,Male,35-39,2270,124
MG,Male,40-44,2836,155
MG,Male,45-49,3560,211
MG,Male,50-54,4918,339
MG,Male,55-59,6436,558
MG,Male,60-64,7801,720
MG,Male,65-69,8818,967
MG,Male,70-74,8976,1003
MG,Male,75-79,8849,968
MG,Male,80-84,8836,975
MG,Male,85-89,6852,683
MG,Male,90,5839,461
MG,Total,0,2558,7
MG,Total,1-4,379,7
MG,Total,5-9,201,6
MG,Total,10-14,308,4
MG,Total,15-19,1204,13
MG,Total,20-24,1754,31
MG,Total,25-29,1961,57
MG,Total,30-34,2425,92
MG,Total,35-39,3437,202
MG,Total,40-44,4349,259
MG,Total,45-49,5601,360
MG,Total,50-54,7815,588
MG,Total,55-59,10163,902
MG,Total,60-64,12760,1208
MG,Total,65-69,14669,1577
MG,Total,70-74,15776,1700
MG,Total,75-79,16450,1727
MG,Total,80-84,17863,1790
MG,Total,85-89,15267,1368
MG,Total,90,15649,1045
MS,Female,0,184,0
MS,Female,1-4,33,0
MS,Female,5-9,18,1
MS,Female,10-14,27,0
MS,Female,15-19,55,1
MS,Female,20-24,63,1
MS,Female,25-29,79,4
MS,Female,30-34,109,15
MS,Female,35-39,178,18
MS,Female,40-44,245,25
MS,Female,45-49,259,33
MS,Female,50-54,353,53
MS,Female,55-59,508,72
MS,Female,60-64,609,98
MS,Female,65-69,738,111
MS,Female,70-74,856,145
MS,Female,75-79,884,106
MS,Female,80-84,979,115
MS,Female,85-89,776,90
MS,Female,90,894,81
MS,Male,0,263,0
MS,Male,1-4,46,0
MS,Male,5-9,32,1
MS,Male,10-14,42,0
MS,Male,15-19,112,0
MS,Male,20-24,237,0
MS,Male,25-29,253,7
MS,Male,30-34,301,10
MS,Male,35-39,328,13
MS,Male,40-44,403,35
MS,Male,45-49,519,52
MS,Male,50-54,656,78
MS,Male,55-59,835,115
MS,Male,60-64,1038,139
MS,Male,65-69,1143,162
MS,Male,70-74,1245,188
MS,Male,75-79,1108,131
MS,Male,80-84,1109,137
MS,Male,85-89,787,96
MS,Male,90,654,53
MS,Total,0,447,0
MS,Total,1-4,79,0
MS,Total,5-9,50,2
MS,Total,10-14,69,0
MS,Total,15-19,167,1
MS,Total,20-24,300,1
MS,Total,25-29,332,11
MS,Total,30-34,410,25
MS,Total,35-39,506,31
MS,Total,40-44,648,60
MS,Total,45-49,778,85
MS,Total,50-54,1009,131
MS,Total,55-59,1343,187
MS,Total,60-64,1647,237
MS,Total,65-69,1881,273
MS,Total,70-74,2101,333
MS,Total,75-79,1992,237
MS,Total,80-84,2088,252
MS,Total,85-89,1563,186
MS,Total,90,1548,134
MT,Female,0,288,2
MT,Female,1-4,58,3
MT,Female,5-9,25,0
MT,Female,10-14,44,0
MT,Female,15-19,68,5
MT,Female,20-24,100,13
MT,Female,25-29,122,12
MT,Female,30-34,148,15
MT,Female,35-39,228,35
MT,Female,40-44,305,61
MT,Female,45-49,350,78
MT,Female,50-54,499,115
MT,Female,55-59,602,151
MT,Female,60-64,702,183
MT,Female,65-69,896,215
MT,Female,70-74,943,224
MT,Female,75-79,966,213
MT,Female,80-84,974,160
MT,Female,85-89,811,131
MT,Female,90,718,74
MT,Male,0,393,7
MT,Male,1-4,71,3
MT,Male,5-9,45,2
MT,Male,10-14,59,0
MT,Male,15-19,263,8
MT,Male,20-24,442,6
MT,Male,25-29,410,15
MT,Male,30-34,435,46
MT,Male,35-39,535,71
MT,Male,40-44,625,121
MT,Male,45-49,742,148
MT,Male,50-54,963,208
MT,Male,55-59,1143,252
MT,Male,60-64,1290,300
MT,Male,65-69,1485,345
MT,Male,70-74,1464,286
MT,Male,75-79,1346,285
MT,Male,80-84,1266,255
MT,Male,85-89,826,139
MT,Male,90,636,99
MT,Total,0,681,9
MT,Total,1-4,129,6
MT,Total,5-9,70,2
MT,Total,10-14,103,0
MT,Total,15-19,331,13
MT,Total,20-24,542,19
MT,Total,25-29,532,27
MT,Total,30-34,583,61
MT,Total,35-39,763,106
MT,Total,40-44,930,182
MT,Total,45-49,1092,226
MT,Total,50-54,1462,323
MT,Total,55-59,1745,403
MT,Total,60-64,1992,483
MT,Total,65-69,2381,560
MT,Total,70-74,2407,510
MT,Total,75-79,2312,498
MT,Total,80-84,2240,415
