sg_uf,Age Group,Female,Male,,
RS,01-04,0.0001,0.0001,,
RS,05-09,0.0000,0.0001,,
RS,10-14,0.0003,0.0001,,
RS,15-19,0.0010,0.0007,,
RS,20-24,0.0021,0.0015,,
RS,25-29,0.0037,0.0048,,
RS,30-34,0.0068,0.0093,,
RS,35-39,0.0101,0.0142,,
RS,40-44,0.0172,0.0217,,
RS,45-49,0.0232,0.0291,,
RS,50-54,0.0315,0.0399,,
RS,55-59,0.0405,0.0555,,
RS,60-64,0.0551,0.0688,,
RS,65-69,0.0654,0.0780,,
RS,70-74,0.0618,0.0756,,
RS,75-79,0.0527,0.0594,,
RS,80-84,0.0424,0.0427,,
RS,85-89,0.0300,0.0238,,
RS,90+,0.0191,0.0110,,
SC,0,0.0004,0.0004,,
SC,01-04,0.0000,0.0005,,
SC,05-09,0.0000,0.0000,,
SC,10-14,0.0001,0.0000,,
SC,15-19,0.0010,0.0007,,
SC,20-24,0.0021,0.0023,,
SC,25-29,0.0039,0.0045,,
SC,30-34,0.0051,0.0104,,
SC,35-39,0.0102,0.0144,,
SC,40-44,0.0176,0.0217,,
SC,45-49,0.0202,0.0315,,
SC,50-54,0.0326,0.0442,,
SC,55-59,0.0364,0.0626,,
SC,60-64,0.0504,0.0777,,
SC,65-69,0.0617,0.0856,,
SC,70-74,0.0621,0.0769,,
SC,75-79,0.0507,0.0626,,
SC,80-84,0.0419,0.0377,,
SC,85-89,0.0258,0.0222,,
SC,90+,0.0137,0.0084,,
SE,0,0.0017,0.0034,,
SE,01-04,0.0011,0.0006,,
SE,05-09,0.0000,0.0011,,
SE,10-14,0.0017,0.0017,,
SE,15-19,0.0017,0.0011,,
SE,20-24,0.0034,0.0040,,
SE,25-29,0.0045,0.0051,,
SE,30-34,0.0074,0.0170,,
SE,35-39,0.0091,0.0176,,
SE,40-44,0.0170,0.0278,,
SE,45-49,0.0256,0.0324,,
SE,50-54,0.0318,0.0415,,
SE,55-59,0.0432,0.0528,,
SE,60-64,0.0545,0.0739,,
SE,65-69,0.0608,0.0750,,
SE,70-74,0.0580,0.0648,,
SE,75-79,0.0460,0.0591,,
SE,80-84,0.0392,0.0341,,
SE,85-89,0.0216,0.0216,,
SE,90+,0.0216,0.0153,,
SP,0,0.0001,0.0003,,
SP,01-04,0.0001,0.0001,,
SP,05-09,0.0001,0.0001,,
SP,10-14,0.0002,0.0002,,
SP,15-19,0.0006,0.0003,,
SP,20-24,0.0021,0.0021,,
SP,25-29,0.0043,0.0049,,
SP,30-34,0.0069,0.0109,,
SP,35-39,0.0113,0.0183,,
SP,40-44,0.0156,0.0257,,
SP,45-49,0.0206,0.0337,,
SP,50-54,0.0306,0.0449,,
SP,55-59,0.0421,0.0597,,
SP,60-64,0.0560,0.0712,,
SP,65-69,0.0622,0.0792,,
SP,70-74,0.0596,0.0727,,
SP,75-79,0.0489,0.0572,,
SP,80-84,0.0394,0.0406,,
SP,85-89,0.0254,0.0234,,
SP,90+,0.0174,0.0112,,
TO,0,0.0010,0.0020,,
TO,01-04,0.0010,0.0000,,
TO,05-09,0.0000,0.0000,,
TO,10-14,0.0000,0.0000,,
TO,15-19,0.0010,0.0010,,
TO,20-24,0.0051,0.0020,,
TO,25-29,0.0081,0.0040,,
TO,30-34,0.0091,0.0101,,
TO,35-39,0.0152,0.0222,,
TO,40-44,0.0212,0.0273,,
TO,45-49,0.0212,0.0364,,
TO,50-54,0.0232,0.0323,,
TO,55-59,0.0414,0.0485,,
TO,60-64,0.0465,0.0566,,
TO,65-69,0.0586,0.0697,,
TO,70-74,0.0424,0.0616,,
TO,75-79,0.0505,0.0909,,
TO,80-84,0.0414,0.0505,,
TO,85-89,0.0212,0.0394,,
TO,90+,0.0121,0.0253,,
