Appendix 2a: 2021 Covid-19 Deaths as of April 30th as reported by Brasil.io (age and sex distribution according to hospitalized COVID-19 deaths),,,
State,Sex,Age Group,Covid Deaths
MA,Total,65-69,379
MA,Total,70-74,378
MA,Total,75-79,299
MA,Total,80-84,199
MA,Total,85-89,153
MA,Total,90+,73
MG,Female,0,9
MG,Female,01-04,4
MG,Female,05-09,2
MG,Female,10-14,2
MG,Female,15-19,12
MG,Female,20-24,38
MG,Female,25-29,80
MG,Female,30-34,139
MG,Female,35-39,213
MG,Female,40-44,280
MG,Female,45-49,401
MG,Female,50-54,577
MG,Female,55-59,863
MG,Female,60-64,1229
MG,Female,65-69,1362
MG,Female,70-74,1330
MG,Female,75-79,1298
MG,Female,80-84,1045
MG,Female,85-89,733
MG,Female,90+,478
MG,Male,0,11
MG,Male,01-04,3
MG,Male,05-09,1
MG,Male,10-14,5
MG,Male,15-19,10
MG,Male,20-24,32
MG,Male,25-29,94
MG,Male,30-34,183
MG,Male,35-39,323
MG,Male,40-44,438
MG,Male,45-49,572
MG,Male,50-54,789
MG,Male,55-59,1097
MG,Male,60-64,1372
MG,Male,65-69,1651
MG,Male,70-74,1604
MG,Male,75-79,1370
MG,Male,80-84,1113
MG,Male,85-89,683
MG,Male,90+,353
MG,Total,0,19
MG,Total,01-04,7
MG,Total,05-09,3
MG,Total,10-14,7
MG,Total,15-19,21
MG,Total,20-24,70
MG,Total,25-29,173
MG,Total,30-34,323
MG,Total,35-39,536
MG,Total,40-44,718
MG,Total,45-49,973
MG,Total,50-54,1366
MG,Total,55-59,1960
MG,Total,60-64,2601
MG,Total,65-69,3013
MG,Total,70-74,2934
MG,Total,75-79,2668
MG,Total,80-84,2158
MG,Total,85-89,1416
MG,Total,90+,831
MS,Female,0,3
MS,Female,01-04,0
MS,Female,05-09,1
MS,Female,10-14,0
MS,Female,15-19,2
MS,Female,20-24,5
MS,Female,25-29,24
MS,Female,30-34,30
MS,Female,35-39,42
MS,Female,40-44,63
MS,Female,45-49,87
MS,Female,50-54,131
MS,Female,55-59,154
MS,Female,60-64,201
MS,Female,65-69,225
MS,Female,70-74,199
MS,Female,75-79,164
MS,Female,80-84,117
MS,Female,85-89,51
MS,Female,90+,33
MS,Male,0,0
MS,Male,01-04,0
MS,Male,05-09,0
MS,Male,10-14,0
MS,Male,15-19,1
MS,Male,20-24,3
MS,Male,25-29,18
MS,Male,30-34,44
MS,Male,35-39,74
MS,Male,40-44,94
MS,Male,45-49,118
MS,Male,50-54,158
MS,Male,55-59,210
MS,Male,60-64,248
MS,Male,65-69,262
MS,Male,70-74,248
MS,Male,75-79,182
MS,Male,80-84,105
MS,Male,85-89,77
MS,Male,90+,37
MS,Total,0,3
MS,Total,01-04,0
MS,Total,05-09,1
MS,Total,10-14,0
MS,Total,15-19,3
MS,Total,20-24,8
MS,Total,25-29,41
MS,Total,30-34,75
MS,Total,35-39,116
MS,Total,40-44,157
MS,Total,45-49,205
MS,Total,50-54,289
MS,Total,55-59,364
MS,Total,60-64,450
MS,Total,65-69,487
MS,Total,70-74,447
MS,Total,75-79,346
MS,Total,80-84,222
MS,Total,85-89,128
MS,Total,90+,71
MT,Female,0,3
MT,Female,01-04,0
MT,Female,05-09,0
MT,Female,10-14,0
MT,Female,15-19,3
MT,Female,20-24,14
MT,Female,25-29,20
MT,Female,30-34,58
MT,Female,35-39,48
MT,Female,40-44,119
MT,Female,45-49,119
MT,Female,50-54,123
MT,Female,55-59,304
MT,Female,60-64,239
MT,Female,65-69,249
MT,Female,70-74,328
MT,Female,75-79,235
MT,Female,80-84,157
MT,Female,85-89,89
MT,Female,90+,58
MT,Male,0,0
MT,Male,01-04,0
MT,Male,05-09,0
MT,Male,10-14,0
MT,Male,15-19,0
MT,Male,20-24,10
MT,Male,25-29,14
MT,Male,30-34,89
MT,Male,35-39,106
MT,Male,40-44,215
MT,Male,45-49,229
MT,Male,50-54,266
MT,Male,55-59,345
MT,Male,60-64,386
MT,Male,65-69,392
MT,Male,70-74,341
MT,Male,75-79,307
MT,Male,80-84,188
